id,customer,invoice_date,due_date,amount,paid
INV-1001,Acme Corp,2026-08-16,2026-09-15,5000,0
INV-1002,Globex LLC,2026-08-08,2026-09-07,3250,0
INV-1003,Acme Corp,2026-07-21,2026-08-20,8400,0
INV-1004,Initech,2026-07-09,2026-08-08,2100,0
INV-1005,Initech,2026-07-08,2026-08-07,4500,0
INV-1006,Umbrella Co,2026-06-09,2026-07-09,6750,0
INV-1007,Umbrella Co,2026-06-08,2026-07-08,1200,0
INV-1008,Soylent Inc,2026-05-10,2026-06-09,9999.99,0
INV-1009,Soylent Inc,2026-05-09,2026-06-08,15000,0
INV-1010,Acme Corp,2026-02-01,2026-03-01,25000,3000
INV-1011,Globex LLC,2026-08-01,2026-08-31,10000,4000
INV-1012,Hooli,2026-07-20,,1800,0
INV-1013,Initech,2026-04-01,2026-05-01,7500,7500
INV-1014,Hooli,2026-09-01,2026-10-01,4100.50,100.50
